Cluster_Name,Queue_Name,JNDI_Name,Bus_Name
DCCDC_PROCESS,WTSCF,jms/WTSCF,WTS.CDC.BUS
DCCDC_PROCESS,WTSOUT,jms/WTSOUT,WTS.CDC.BUS
DCRCDC_PROCESS,WTSCF,jms/WTSCF,WTS.RCDC.BUS
DCRCDC_PROCESS,WTSOUT,jms/WTSOUT,WTS.RCDC.BUS
DCPDC_PROCESS,WTSCF,jms/WTSCF,WTS.PDC.BUS
DCPDC_PROCESS,WTSOUT,jms/WTSOUT,WTS.PDC.BUS
DCODC_PROCESS,WTSCF,jms/WTSCF,WTS.ODC.BUS
DCODC_PROCESS,WTSOUT,jms/WTSOUT,WTS.ODC.BUS
DCGRP_PROCESS,WTSCF,jms/WTSGRCF,WTS.GRP.BUS
DCGRP_PROCESS,WTSOUT,jms/WTSOUT,WTS.GRP.BUS
DCMH_PROCESS,WTSCF,jms/WTSGRCF,WTS.MH.BUS
DCMH_PROCESS,WTSOUT,jms/WTSOUT,WTS.MH.BUS
DCBDC_PROCESS,WTSCF,jms/WTSCF,WTS.BDC.BUS
DCBDC_PROCESS,WTSOUT,jms/WTSOUT,WTS.BDC.BUS
DCCDC_ONLINE,WTSCF,jms/WTSCF,WTS.CDC.BUS
DCCDC_ONLINE,WTSOUT,jms/WTSOUT,WTS.CDC.BUS
DCRCDC_ONLINE,WTSCF,jms/WTSCF,WTS.RCDC.BUS
DCRCDC_ONLINE,WTSOUT,jms/WTSOUT,WTS.RCDC.BUS
DCPDC_ONLINE,WTSCF,jms/WTSCF,WTS.PDC.BUS
DCPDC_ONLINE,WTSOUT,jms/WTSOUT,WTS.PDC.BUS
DCODC_ONLINE,WTSCF,jms/WTSCF,WTS.ODC.BUS
DCODC_ONLINE,WTSOUT,jms/WTSOUT,WTS.ODC.BUS
DCGRP_ONLINE,WTSCF,jms/WTSCF,WTS.GRP.BUS
DCGRP_ONLINE,WTSOUT,jms/WTSOUT,WTS.GRP.BUS
DCMH_ONLINE,WTSCF,jms/WTSCF,WTS.MH.BUS
DCMH_ONLINE,WTSOUT,jms/WTSOUT,WTS.MH.BUS
DCBDC_ONLINE,WTSCF,jms/WTSCF,WTS.BDC.BUS
DCBDC_ONLINE,WTSOUT,jms/WTSOUT,WTS.BDC.BUS
