ClusterName,PropName,ThreadMin,ThreadMax,TimeOut
DCBDC_ONLINE,WebContainer,10,200,60000
DCBDC_PROCESS,WebContainer,10,200,60000
DCBDC_SIB,WebContainer,10,300,60000
DCCDC_ONLINE,WebContainer,10,200,60000
DCCDC_PROCESS,WebContainer,10,200,60000
DCCDC_SIB,WebContainer,10,300,60000
DCGRP_ONLINE,WebContainer,10,200,60000
DCGRP_PROCESS,WebContainer,10,200,60000
DCGRP_SIB,WebContainer,10,300,60000
DCMH_ONLINE,WebContainer,10,200,60000
DCMH_PROCESS,WebContainer,10,200,60000
DCMH_SIB,WebContainer,10,300,60000
DCODC_ONLINE,WebContainer,10,200,60000
DCODC_PROCESS,WebContainer,10,200,60000
DCODC_SIB,WebContainer,10,300,60000
DCPDC_ONLINE,WebContainer,10,200,60000
DCPDC_PROCESS,WebContainer,10,200,60000
DCPDC_SIB,WebContainer,10,300,60000
DCRCDC_ONLINE,WebContainer,10,200,60000
DCRCDC_PROCESS,WebContainer,10,200,60000
DCRCDC_SIB,WebContainer,10,300,60000
