SERVERNAME,HeapMinSize,HeapMaxSize,JVMClassPath
DCCDC_ONLINE,512,4096,""
DCRCDC_ONLINE,512,4096,""
DCPDC_ONLINE,512,4096,""
DCODC_ONLINE,512,4096,""
DCGRP_ONLINE,512,8192,""
DCMH_ONLINE,512,4096,""
DCBDC_ONLINE,512,4096,""
DCCDC_PROCESS,512,4096,""
DCRCDC_PROCESS,512,4096,""
DCPDC_PROCESS,512,4096,""
DCODC_PROCESS,512,4096,""
DCGRP_PROCESS,512,4096,""
DCMH_PROCESS,512,4096,""
DCBDC_PROCESS,512,4096,""
DCCDC_SIB,512,2048,""
DCRCDC_SIB,512,2048,""
DCPDC_SIB,512,2048,""
DCODC_SIB,512,2048,""
DCGRP_SIB,512,2048,""
DCMH_SIB,512,2048,""
DCBDC_SIB,512,2048,""
Dmgr,512,2048,""
dmgr,512,2048,""
Nodeagent,512,2048,""
nodeagent,512,2048,""
NodeAgent,512,2048,""
